id,nome,sigla,geocodigo
"5586",Piauí,PI,"22"
"5589",Rondônia,RO,"11"
"5590",Acre,AC,"12"
"5591",Amazonas,AM,"13"
"5592",Roraima,RR,"14"
"5593",Pará,PA,"15"
"5594",Amapá,AP,"16"
"5595",Tocantins,TO,"17"
"5596",Alagoas,AL,"27"
"5597",Paraná,PR,"41"
"5598",Santa Catarina,SC,"42"
"5599",Mato Grosso do Sul,MS,"50"
"5600",Sergipe,SE,"28"
"5601",Mato Grosso,MT,"51"
"5602",Rio Grande do Sul,RS,"43"
"5603",Rio de Janeiro,RJ,"33"
"5604",Minas Gerais,MG,"31"
"5605",Rio Grande do Norte,RN,"24"
"5606",Distrito Federal,DF,"53"
"5607",Paraíba,PB,"25"
"5608",Pernambuco,PE,"26"
"5609",Bahia,BA,"29"
"5610",Goiás,GO,"52"
"5611",São Paulo,SP,"35"
"5612",Ceará,CE,"23"
"5622",Maranhão,MA,"21"
"5624",Espírito Santo,ES,"32"
